date,delay,distance,origin,destination
01010001,14,405,MCI,MDW
01010530,-11,370,LAX,PHX
01010605,5,236,LAS,LAX
01010620,-5,358,SMF,BUR
01010625,0,313,MCI,OKC
01010630,-2,361,OAK,ONT
01010630,1,682,BWI,BHM
01010635,9,677,ABQ,LAX
01020940,-10,328,PVD,BWI
01020940,14,303,MSY,HOU
01020941,14,1140,LAS,MCI
01020945,-7,180,RNO,OAK
01020945,-8,303,HOU,MSY
01020950,2,293,DAL,LBB
01020952,4,907,BNA,PVD
01020955,5,671,OAK,SEA
01020959,19,682,BHM,BWI
01021000,-5,687,HOU,STL
01101355,-7,448,BNA,CLE
01101355,5,189,AUS,DAL
01101356,11,462,OKC,STL
01101400,-6,224,GEG,SEA
01101400,13,197,ONT,LAS
01101403,-15,1166,MDW,FLL
01101403,35,345,LAS,RNO
01101405,5,303,MSY,HOU
01101409,139,689,SEA,SLC
01101410,-5,276,HRL,HOU
01101410,0,462,STL,OKC
01101411,20,248,SAT,DAL
01101415,-18,859,JAX,ISP
01101415,35,714,LAX,ELP
01101415,5,318,JAX,FLL
01101420,-4,405,MDW,MCI
01101420,0,283,BWI,BDL
01101423,60,451,LAX,TUS
01101425,58,325,OAK,BUR
01101430,-2,687,STL,HOU
01101432,9,405,MCI,MDW
01101435,1,587,TPA,RDU
01101435,5,325,BUR,OAK
01101440,-15,1342,AUS,BWI
01101440,39,480,SMF,SAN
01101444,95,370,LAX,PHX
01101445,0,251,MDW,STL
01101445,7,303,MSY,HOU
01101450,15,671,SEA,OAK
01101455,-15,842,BWI,TPA
01101455,-2,229,IND,STL
01101458,32,255,RDU,BWI
01101500,0,405,MCI,MDW
01101503,75,390,RNO,LAX
01101505,-20,1034,ISP,TPA
01101505,25,389,ONT,SMF
01101508,30,276,HOU,HRL
01101510,69,256,PHX,LAS
01101510,8,487,LAS,ABQ
01101515,-9,515,IND,BWI
01101515,20,220,BWI,ISP
01101518,4,888,BWI,JAN
01101520,-1,377,BWI,MHT
01101520,0,491,BNA,MCI
01101520,3,423,OMA,MDW
01101525,2,314,BWI,CLE
01101525,7,564,SEA,RNO
01101530,0,237,STL,MCI
01101530,40,188,RNO,SJC
01101532,34,187,HOU,CRP
01101535,23,487,ABQ,LAS
01101539,-2,162,IND,MDW
01101540,2,223,LAS,BUR
01101543,5,580,DAL,ABQ
01101545,-11,588,BNA,BWI
01101545,60,1864,SLC,BWI
01101550,-3,338,CMH,BNA
01101552,39,258,SAN,LAS
01101555,-18,487,CLE,STL
01101555,8,440,STL,DTW
01101559,17,197,TPA,FLL
01101602,42,687,HOU,STL
01101603,37,453,HOU,TUL
01101605,-3,178,MCO,FLL
01101605,14,479,PDX,SMF
01101608,14,371,OAK,SNA
01101608,59,373,SMF,LAX
01101610,-4,319,MAF,DAL
01101614,333,919,SLC,MCI
01101619,154,373,LAX,SMF
01101620,-10,395,BNA,MDW
01101620,29,276,HRL,HOU
01101624,24,328,BWI,PVD
01101625,3,248,DAL,SAT
01101625,57,258,LAS,SAN
01101630,-3,972,TPA,SAT
01101630,25,239,HOU,DAL
01101632,181,368,SLC,LAS
01101632,99,187,CRP,HOU
01101635,-8,255,BWI,RDU
01101638,25,328,ABQ,PHX
01101640,-8,448,CLE,BNA
01101640,333,368,SLC,LAS
01101645,2,487,STL,CLE
01101647,33,229,DTW,MDW
01101650,3,181,OKC,DAL
01101650,38,480,SMF,SAN
01101656,35,550,MCO,MSY
01101659,33,351,TUL,STL
01101700,10,762,PDX,LAS
01101700,25,570,MDW,BHM
01101700,72,590,LAX,SLC
01101704,0,562,DAL,ELP
01101705,33,256,LAS,PHX
01101705,45,325,BUR,OAK
01101710,-9,1044,MCI,PHX
01101713,36,303,MSY,HOU
01101715,4,405,MDW,MCI
01101717,11,256,LAS,PHX
01101720,20,457,BNA,DTW
01101720,53,838,TPA,IND
01101724,14,484,JAX,BNA
01101725,-10,283,BDL,BWI
01101725,0,471,BNA,MSY
01101725,28,220,BWI,ISP
01101727,52,342,SJC,SNA
01101730,105,236,LAS,LAX
01101730,9,178,FLL,MCO
01101734,-6,842,BWI,TPA
01101735,7,318,FLL,JAX
01101735,78,1210,LAX,SAT
01101740,-7,1588,BNA,LAS
01101740,18,328,PVD,BWI
01101743,43,443,BNA,RDU
01101744,38,671,SEA,OAK
01101745,-17,967,BWI,MCI
01101745,18,689,SLC,SEA
01101748,36,189,DAL,AUS
01101748,7,904,MCI,RDU
01101751,32,342,SNA,SJC
01101754,22,296,LIT,DAL
01101755,8,223,ABQ,ELP
01101757,28,588,SLC,OAK
01101800,-12,443,RDU,BNA
01101800,115,258,LAS,SAN
01101802,29,239,HOU,DAL
01101803,116,188,RNO,SJC
01101805,7,162,MDW,IND
01101808,22,239,DAL,HOU
01101810,-4,293,LBB,DAL
01101810,15,148,AUS,HOU
01101810,73,528,AUS,ELP
01101815,0,377,BWI,MHT
01101816,12,507,PHX,SLC
01101818,62,1099,LAS,OMA
01101820,9,479,SMF,PDX
01101825,114,321,MSY,BHM
01101828,35,444,RNO,PDX
01101830,-5,1442,MCI,SMF
01101830,7,570,BHM,MDW
01101833,33,440,STL,DTW
01101835,18,437,MSY,DAL
01101835,19,187,CRP,HOU
01101839,38,239,HOU,DAL
01101840,0,324,DAL,AMA
01101840,7,220,ISP,BWI
01101843,33,294,AUS,MAF
01101846,17,480,SMF,SAN
01101849,-10,377,MHT,BWI
01101850,5,303,HOU,MSY
01101850,83,325,BUR,OAK
01101855,-24,1999,BWI,PHX
01101855,58,325,OAK,BUR
01101900,-8,471,MSY,BNA
01101900,5,239,DAL,HOU
01101902,72,223,ELP,ABQ
01101904,26,187,HOU,CRP
01101905,4,251,STL,MDW
01101905,55,1848,PHX,MCO
01101910,72,192,HOU,SAT
01101913,50,670,HOU,BNA
01101915,11,255,BWI,RDU
01101915,45,605,SMF,SEA
01101916,41,1020,HOU,PHX
01101919,91,447,SAN,SFO
01101920,2,328,PVD,BWI
01101920,43,888,JAN,BWI
01101924,30,223,LAS,BUR
01101925,25,347,ELP,PHX
01101927,131,279,PDX,GEG
01101928,105,386,LAS,SJC
01101930,10,612,BNA,TPA
01101930,20,371,OAK,SNA
01101932,37,872,PHX,AUS
01101933,4,687,HOU,STL
01101935,0,365,TUS,LAS
01101935,60,611,MDW,BWI
01101938,50,1591,LAS,IND
01101940,14,998,BWI,MSY
01101944,0,177,BNA,BHM
01101945,77,332,MAF,ABQ
01101950,27,319,DAL,MAF
01101950,3,937,HOU,MDW
01101953,34,162,IND,MDW
01101955,-7,108,ISP,PVD
01101958,33,294,MAF,AUS
01102000,0,546,SLC,GEG
01102005,23,758,LAS,AMA
01102005,70,1140,LAS,MCI
01102010,60,337,OAK,LAX
01102010,81,223,ABQ,ELP
01102015,87,258,SAN,LAS
01102018,20,587,RDU,TPA
01102020,-6,838,IND,TPA
01102020,0,443,RDU,BNA
01102021,22,239,DAL,HOU
01102024,14,220,ISP,BWI
01102025,3,616,MCO,BNA
01102025,6,307,CLE,MDW
01102028,28,239,HOU,DAL
01102030,0,938,BNA,MHT
01102030,93,296,BUR,SJC
01102034,77,180,OAK,RNO
01102035,85,390,RNO,LAX
01102038,157,397,LAS,SMF
01102040,-8,437,DAL,MSY
01102040,2,462,STL,OKC
01102042,22,223,LAS,BUR
01102045,0,756,BNA,AUS
01102045,81,296,SJC,BUR
01102048,25,395,MDW,BNA
01102050,0,365,TUS,LAS
01102050,65,1363,MCI,LAX
01102054,48,256,LAS,PHX
01102055,-5,495,SDF,BWI
01102100,-15,550,MSY,MCO
01102100,35,224,SEA,GEG
01102104,99,389,ONT,SMF
01102105,23,333,ONT,SJC
01102108,25,1262,PHX,STL
01102110,-4,677,ELP,HOU
01102111,35,580,ABQ,DAL
01102112,12,303,HOU,MSY
01102116,15,192,HOU,SAT
01102120,-10,1140,MCI,LAS
01102120,72,880,MCO,STL
01102122,0,611,BWI,MDW
01102127,210,447,SFO,SAN
01102130,-1,239,HOU,DAL
01102130,55,405,MCI,MDW
01102130,65,293,DAL,LBB
01102135,12,389,SMF,ONT
01102138,14,319,DAL,MAF
01102140,103,188,RNO,SJC
01102140,16,239,DAL,HOU
01102143,91,368,LAS,SLC
01102145,15,737,STL,BWI
01102150,-12,271,SDF,MDW
01102150,-2,313,MCI,OKC
01102154,47,148,HOU,AUS
01102155,32,646,PHX,OAK
01102200,22,255,BWI,RDU
01102200,64,236,LAS,LAX
01102205,48,358,SMF,BUR
01102209,66,239,DAL,HOU
01102210,77,588,BWI,BNA
01102212,40,370,LAX,PHX
01102215,58,197,ONT,LAS
01102224,14,248,SAT,DAL
01102230,111,337,LAX,OAK
01102233,106,337,OAK,LAX
01102246,88,447,SAN,SFO
01102250,69,361,ONT,OAK
01102300,47,224,SEA,GEG
01102300,80,337,LAX,OAK
01102305,225,148,AUS,HOU
01102310,-9,251,STL,MDW
01102322,86,621,SJC,PHX
01102355,8,405,MCI,MDW
01110130,205,224,SEA,GEG
01110540,-10,389,ONT,SMF
01110600,7,337,OAK,LAX
01110610,-3,276,HRL,HOU
01110615,13,188,RNO,SJC
01110620,-10,491,BNA,MCI
01110620,17,291,BOI,SLC
01110625,-16,651,SFO,PHX
01110625,17,258,LAS,SAN
01110625,8,588,BNA,BWI
01110630,-3,405,MDW,MCI
01110630,-4,351,TUL,STL
01110630,-7,325,ONT,PHX
01110630,0,148,HOU,AUS
01110630,0,325,PHX,ONT
01110630,0,377,MHT,BWI
01110630,19,361,OAK,ONT
01110630,3,368,SLC,LAS
01110635,-13,588,BWI,BNA
01110635,-3,328,PVD,BWI
01110635,3,543,OAK,PDX
01110640,-2,590,SLC,LAX
01110640,13,480,SMF,SAN
01110640,4,417,SAN,SJC
01110645,-4,251,STL,MDW
01110645,-9,605,SEA,SMF
01110645,9,496,SAT,ELP
01110650,-4,390,LAX,RNO
01110655,-20,1864,BWI,SLC
01110655,32,342,SJC,SNA
01110700,-11,765,ISP,MDW
01110700,-22,1506,SDF,PHX
01110700,-5,588,BNA,BWI
